file,label,dist_centroid,valence,arousal,familiarity,title,composer,film,year,genre,director
lamusiquedufuturmoncoeurpetitemamanjeanbaptistedelaubierparaonecelinesciammasample2mp3.mp3,0,1.789022662256905,0.53818,0.44922000000000006,not-sure,La Musique du Futur - Mon Coeur,"Jean-Baptiste de Laubier, Para One, Céline Sciamma",Petite Maman,2021.0,Drama Fantasy,Céline Sciamma
startawarthenationalwarriorsample1mp3.mp3,0,1.7985499882153726,-0.28766,0.26672,familiar-feeling-not-familiar,Start A War,The National/Matthew Berninger/Aaron Dessner,Warrior,2011.0,Action Drama Sport,Gavin O'Connor
trentreznorandatticusrosspursuitterrysworldsoulsample1mp3.mp3,0,1.8098179833356696,0.68723,0.565545,not-sure,Pursuit/Terry's World,"Trent Reznor, Atticus Ross",Soul,2020.0,Animation Adventure Comedy,"Pete Docter, Kemp Powers"
themazepatrickdoyleharrypotterandthegobletoffiresample2mp3.mp3,0,1.855911851579446,0.61875,0.48,familiar,The Maze,Patrick Doyle,Harry Potter and the Goblet of Fire,2005.0,Adventure Family Fantasy,Mike Newell
oppenheimercanyouhearthemusicludwiggoranssonsample2mp3.mp3,0,1.8785177316428223,0.65949,0.63078,familiar,Can You Hear The Music,Ludwig Göransson,Oppenheimer,2023.0,Biography Drama History,Christopher Nolan
daydreambelieverthemonkeeswomentalkingsample1mp3.mp3,0,1.8849551428388496,0.18102000000000001,0.43289,familiar-feeling-not-familiar,Daydream Believer,"The Monkees, John Stewart",Women Talking,2022.0,Drama,Sarah Polley
lamusiquedufuturmoncoeurpetitemamanjeanbaptistedelaubierparaonecelinesciammasample1mp3.mp3,0,1.8957266947765288,0.76297,0.2393,familiar-feeling-not-familiar,La Musique du Futur - Mon Coeur,"Jean-Baptiste de Laubier, Para One, Céline Sciamma",Petite Maman,2021.0,Drama Fantasy,Céline Sciamma
themazepatrickdoyleharrypotterandthegobletoffiresample1mp3.mp3,0,1.9184892766757426,0.81898,0.01,not-sure,The Maze,Patrick Doyle,Harry Potter and the Goblet of Fire,2005.0,Adventure Family Fantasy,Mike Newell
djangounchainedluisbacalovdjangosample1mp3.mp3,0,1.9769202735091214,0.53381,0.54981,familiar,Django,Luis Bacalov/ Rocky Roberts,Django Unchained,2012.0,Drama Western,Quentin Tarantino
thefourseasonssummeringminorrv315iiiprestoantoniovivaldiportraitofaladyonfiresample1mp3.mp3,0,1.9777330266782458,0.55594,0.41805,familiar-feeling-not-familiar,"The Four Seasons - Summer in G Minor, RV. 315: III. Presto",Antonio Vivaldi,Portrait of a Lady on Fire,2019.0,Drama Romance,Céline Sciamma
startawarthenationalwarriorsample2mp3.mp3,0,1.991592594845396,0.05031,0.05755,never-heard-this,Start A War,The National/Matthew Berninger/Aaron Dessner,Warrior,2011.0,Action Drama Sport,Gavin O'Connor
callingthewhipperinjonnygreenwoodspencersample1mp3.mp3,0,1.9999524870825094,0.25675,-0.69019,never-heard-this,Calling The Whipper In,Jonny Greenwood,Spencer,2021.0,Biography Drama,Pablo Larraín
